Activity,Subtitle,Social Intensity,Structure,Novelty,Formality,Energy Level,Scale & Immersion,Tags
Rare Spirits Guided Tasting,Sample premium whiskeys with expert commentary,6,8,5,7,3,3,Food & Drink,Indoor Activity,Guided Experience,Luxury Experience,Educational,Adult Only,Evening Experience,Small Group,Sophisticated,Tasting,Alcohol-Focused,Learning Opportunity
Rooftop Dawn Yoga & Breakfast,Morning stretches with skyline views and healthy meal,3,8,6,3,5,4,Wellness,Morning Activity,Outdoor Activity,Physical Activity,Food & Drink,Healthy,Group-Friendly,Instagram-Worthy,Urban Setting,Structured,Beginner-Friendly,Photogenic
Neon Glow Competitive Dodgeball,Team sport under blacklights with glowing equipment,8,8,8,2,9,6,High Energy,Indoor Activity,Team Building,Physical Activity,Competition,Evening Experience,Group-Friendly,Quirky/Unique,Active,Rowdy/Party,Game-Based,Nightlife
1920s-Themed Whodunit Dinner,Solve a staged murder while dining in period costumes,9,9,8,8,6,7,Evening Experience,Immersive,Food & Drink,Entertainment-Focused,Dress-Up,Guided Experience,Group-Friendly,Quirky/Unique,Participatory,Interactive,High Formality,Role-Playing,Luxury Experience
Acoustic Beachside Bonfire,Casual guitar singalong around flames on the sand,6,3,3,1,5,5,Outdoor Activity,Evening Experience,Music-Centered,Waterfront,Chill Vibe,Casual,Budget-Friendly,Group-Friendly,Nature-Focused,Weather Dependent,Spontaneous
Immersive Film Set Adventure,Explore interactive movie environments with performers,5,8,9,6,5,9,Entertainment-Focused,Immersive,Guided Experience,Quirky/Unique,Participatory,Arts & Culture,Trendy/Popular,Educational,Interactive,Luxury Experience,Full Day Event
Victorian Era Tea Service,Elegant finger sandwiches and proper etiquette lessons,6,9,2,9,2,3,Food & Drink,Indoor Activity,Educational,Historic,High Formality,Sophisticated,Guided Experience,Arts & Culture,Learning Opportunity,Traditional,Unique Experience
Hidden Gems Photo Expedition,Guided tour to photograph secret city locations,4,5,7,3,6,5,Outdoor Activity,Guided Experience,Arts & Culture,Urban Setting,Educational,Walking Tour,Creative Expression,Instagram-Worthy,Local Favorite,Hidden Gem,Photogenic
Chandeliers Fundraiser Ball,Black-tie gala with champagne and silent auction,8,9,2,10,4,8,Evening Experience,High Formality,Indoor Activity,Sophisticated,Food & Drink,Dress-Up,Charity,Networking,Special Occasion,Luxury Experience,Adult Only
Luminescent Battlefield Game,Capture-the-flag in the dark with glow-in-the-dark gear,8,7,8,1,9,5,High Energy,Outdoor Activity,Evening Experience,Game-Based,Competition,Team Building,Physical Activity,Quirky/Unique,Group-Friendly,Active,Rowdy/Party
Weightless Isolation Therapy,Float in soundproof saltwater tank for sensory deprivation,1,5,8,3,1,9,Wellness,Indoor Activity,Solo-Friendly,Relaxation,Quiet,Unique Experience,Self-Care,Health-Focused,Meditative,Sensory Experience
Strategy Games Championship,Competitive board games with prizes and brackets,8,8,5,3,4,5,Indoor Activity,Game-Based,Competition,Intellectual,Group-Friendly,Evening Experience,Casual,Social,Strategic,Tournament
Hands-On Culinary Masterclass,Cook alongside renowned chef then enjoy your creation,6,8,7,6,6,6,Food & Drink,Indoor Activity,Educational,Hands-On,Creative Expression,Guided Experience,Learning Opportunity,Skill Building,Gourmet,Participatory
Underground All-Night Dance,Warehouse rave with DJs playing until sunrise,6,3,8,2,10,9,High Energy,Evening Experience,Late Night,Music-Centered,Nightlife,Dance,Urban Setting,Rowdy/Party,Adult Only,Large Group,Immersive
Mindfulness Nature Trail,Guided meditation walk through botanical gardens,2,6,5,4,2,5,Wellness,Outdoor Activity,Nature-Focused,Guided Experience,Relaxation,Walking Tour,Quiet,Meditative,Self-Care,Beginner-Friendly
Diplomatic Food Exchange,Multicultural dinner with dishes from different embassies,7,8,8,9,3,7,Food & Drink,Indoor Activity,Educational,Cultural Immersion,International,High Formality,Sophisticated,Guided Experience,Learning Opportunity,Unique Experience,Global,Inclusive
Live-Action Survival Horror,Escape zombies in realistic apocalypse simulation,9,8,9,3,10,9,High Energy,Entertainment-Focused,Immersive,Game-Based,Role-Playing,Adrenaline Rush,Evening Experience,Group-Friendly,Adult Only,Theatrical,Interactive,Team Building
Skyview Cocktail Competition,Invent signature drinks on rooftop with city panorama,8,7,7,7,5,5,Food & Drink,Outdoor Activity,Creative Expression,Competition,Rooftop,Urban Setting,Evening Experience,Group-Friendly,Hands-On,Alcohol-Focused,Instagram-Worthy,Sophisticated
Cozy Venue Silent Reading,Gather to enjoy books individually in comfortable space,2,3,5,4,1,3,Indoor Activity,Literary,Quiet,Relaxation,Chill Vibe,Solo-Friendly,Intellectual,Group-Friendly,Unique Concept,Introverted,Screen-Free
Team VR Gaming Tournament,Compete in virtual reality games with friends,5,8,9,3,8,9,Tech-Focused,Indoor Activity,Game-Based,Competition,High Energy,Group-Friendly,Immersive,Entertainment-Focused,Digital,Interactive,Tournament
Waterborne Sunrise Meditation,Practice mindfulness while floating on paddleboards,3,5,8,3,5,7,Wellness,Outdoor Activity,Morning Activity,Waterfront,Nature-Focused,Physical Activity,Unique Experience,Quiet,Instagram-Worthy,Meditative,Balance,Self-Care
Multi-Venue Traveling Dinner,Enjoy each course at different neighborhood restaurants,8,8,7,6,6,7,Food & Drink,Urban Setting,Evening Experience,Walking Tour,Guided Experience,Sophisticated,Group-Friendly,Gourmet,Local Favorite,Progressive,Culinary Adventure
Traditional Craft Workshop,Learn ancestral techniques from cultural artisans,5,8,8,4,5,7,Arts & Culture,Indoor Activity,Educational,Hands-On,Creative Expression,Cultural Immersion,Learning Opportunity,Skill Building,Traditional,Unique Experience
24-Hour Dance Challenge,Raise money through non-stop sponsored dancing,8,6,5,2,10,10,High Energy,Physical Activity,Charity,Dance,Urban Setting,Endurance,Group-Friendly,Team Building,Challenge,Immersive,Memorable
Hidden-Entrance Jazz Club,Find the unmarked door to vintage music and cocktails,6,3,7,7,4,6,Nightlife,Music-Centered,Indoor Activity,Evening Experience,Hidden Gem,Entertainment-Focused,Sophisticated,Adult Only,Urban Setting,Jazz,Atmospheric
Muddy Endurance Race,Overcome extreme obstacles requiring teamwork,7,8,7,1,10,8,High Energy,Outdoor Activity,Physical Activity,Team Building,Competition,Challenge,Adrenaline Rush,Active,Muddy,Physical Exertion,Tournament
Historical Immersion Weekend,Live like it's another century with period activities,8,9,8,8,7,10,Educational,Immersive,Weekend Required,Role-Playing,Cultural Immersion,Historical Site,Group-Friendly,Costume,Full Immersion,Multi-Day,Learning Opportunity
Art Preview with Champagne,First look at new gallery exhibits with upscale drinks,6,4,5,8,3,5,Arts & Culture,Indoor Activity,Evening Experience,Sophisticated,Food & Drink,Networking,Urban Setting,Cultural,Alcohol-Focused,Upscale,Trendy
Harbor Wine Flight Cruise,Taste wines while sailing at sunset,7,6,8,7,3,7,Food & Drink,Waterfront,Evening Experience,Guided Experience,Sophisticated,Adult Only,Relaxation,Scenic,Alcohol-Focused,Instagram-Worthy,Romantic
Desert Stargazing Expedition,Camp under dark skies with professional telescopes,5,6,8,2,3,9,Nature-Focused,Outdoor Activity,Evening Experience,Guided Experience,Educational,Quiet,Remote/Rural,Weather Dependent,Group-Friendly,Science,Photogenic,Unique Experience
Rooftop Silent Disco,Dance to your own music channel with wireless headphones,7,4,8,3,9,7,Nightlife,Music-Centered,Dance,High Energy,Urban Setting,Quirky/Unique,Evening Experience,Group-Friendly,Rooftop,Instagram-Worthy,Immersive
Pop-Up Outdoor Movie Night,Bring blankets for cult classics under the stars,5,5,4,2,2,6,Entertainment-Focused,Outdoor Activity,Evening Experience,Urban Setting,Relaxation,Chill Vibe,Group-Friendly,Budget-Friendly,Casual,Weather Dependent,Cozy
Bubble Soccer Tournament,Play soccer while encased in inflatable bubbles,8,7,9,1,10,6,High Energy,Physical Activity,Game-Based,Competition,Outdoor Activity,Team Building,Quirky/Unique,Group-Friendly,Active,Funny,Tournament
Adult Field Day Competition,Compete in nostalgic childhood games with team prizes,9,8,7,2,8,7,High Energy,Physical Activity,Game-Based,Competition,Team Building,Outdoor Activity,Group-Friendly,Active,Nostalgic,Playful,Rowdy/Party
Blind Taste Test Challenge,Guess mystery foods and drinks while blindfolded,7,7,6,4,3,5,Food & Drink,Indoor Activity,Game-Based,Competition,Sensory Experience,Group-Friendly,Quirky/Unique,Interactive,Hands-On,Party Game
Neon Night Bike Ride,Group cycling with glow sticks through city streets,6,5,7,1,8,7,High Energy,Physical Activity,Outdoor Activity,Evening Experience,Urban Setting,Active,Group-Friendly,Scenic,Unique Experience,Instagram-Worthy,Immersive
Local Band Bar Crawl,Visit multiple venues featuring live music,8,4,5,3,7,8,Nightlife,Music-Centered,Urban Setting,Evening Experience,Entertainment-Focused,Adult Only,Walking Tour,Group-Friendly,Local Scene,Live Music,Alcohol-Focused
Plant Swap & Cocktail Mixer,Trade houseplants while enjoying botanical drinks,7,3,6,5,3,4,Networking,Indoor Activity,Food & Drink,Urban Setting,Creative Expression,Quirky/Unique,Group-Friendly,Trendy,Plant-Focused,Social,Trading
Sunset Paddleboard Meetup,Group water adventure with amazing photo opportunities,5,4,7,2,6,7,Physical Activity,Outdoor Activity,Waterfront,Sports-Related,Group-Friendly,Water Activity,Scenic,Instagram-Worthy,Weather Dependent,Active
Interactive Art Installation,Explore exhibits where you become part of the art,4,3,9,3,4,8,Arts & Culture,Indoor Activity,Creative Expression,Urban Setting,Quirky/Unique,Instagram-Worthy,Immersive,Family-Friendly,Interactive,Sensory Experience
Powerpoint Party Night,Friends present hilarious 5-minute slideshows on random topics,9,6,8,2,5,5,Indoor Activity,Entertainment-Focused,Creative Expression,Group-Friendly,Quirky/Unique,Friend Group Classic,DIY/Homemade,Funny,Interactive,Casual
Outdoor Yoga & Brunch,Morning stretch session followed by mimosas and food,6,7,3,4,5,5,Wellness,Outdoor Activity,Morning Activity,Food & Drink,Physical Activity,Group-Friendly,Urban Setting,Weekend Activity,Healthy,Social,Relaxation
True Crime Podcast Club,Discuss popular episodes over drinks and appetizers,6,5,4,3,2,6,Indoor Activity,Evening Experience,Entertainment-Focused,Food & Drink,Group-Friendly,Discussion-Based,Friend Group Classic,Intellectual,Casual,Trendy
Retro Video Game Tournament,Compete on N64 PlayStation 1 and other vintage consoles,7,6,5,1,6,7,Tech-Focused,Indoor Activity,Game-Based,Competition,Retro/Nostalgic,Group-Friendly,Entertainment-Focused,Casual,Friend Group Classic,Tournament
Polaroid Scavenger Hunt,Capture instant photos of specific city locations,8,7,6,2,7,7,Urban Setting,Creative Expression,Game-Based,Physical Activity,Walking Tour,Group-Friendly,Team Building,Instagram-Worthy,Interactive,Photography,Challenge
DIY Cocktail Chemistry,Create molecular gastronomy drinks with science techniques,6,8,9,5,4,6,Food & Drink,Indoor Activity,Creative Expression,Educational,Hands-On,Science-Based,Group-Friendly,Adult Only,Learning Opportunity,Trendy,Experimental
Thrift Store Formal Party,Dress up in secondhand fancy clothes for mock gala,9,4,8,7,6,7,Entertainment-Focused,Evening Experience,Creative Expression,Dress-Up,Budget-Friendly,Group-Friendly,Quirky/Unique,Shopping,DIY/Homemade,Playful,Sustainable
Indoor Rock Climbing Social,Scale walls with new friends and instructors,7,7,6,2,9,7,Physical Activity,Indoor Activity,Sports-Related,Guided Experience,Adrenaline Rush,Active,Group-Friendly,Meet New People,Challenge,Skill Building
Puppy Yoga Session,Practice poses with adoptable dogs running around,5,6,8,3,5,6,Wellness,Indoor Activity,Physical Activity,Animal Interaction,Quirky/Unique,Instagram-Worthy,Charitable,Group-Friendly,Cute,Feel-Good,Interactive
Graffiti Workshop & Jam,Learn spray paint art techniques with DJ backdrop,5,7,8,2,6,7,Arts & Culture,Creative Expression,Educational,Hands-On,Music-Centered,Urban Setting,Group-Friendly,Learning Opportunity,Hip,Trendy,Urban Art
Food Truck Festival Meetup,Sample multiple cuisines from mobile vendors,7,3,5,2,4,6,Food & Drink,Outdoor Activity,Urban Setting,Casual,Group-Friendly,Walking Tour,Budget-Friendly,Family-Friendly,Diverse Options,Culinary Adventure
Sunset Kayak & Beers,Paddle through urban waterways ending at waterfront bar,5,5,7,2,7,8,Physical Activity,Outdoor Activity,Waterfront,Sports-Related,Evening Experience,Nature-Focused,Group-Friendly,Water Activity,Scenic,Active,Instagram-Worthy
Living Room Concert Series,Local musicians perform intimate shows in homes,6,5,6,4,3,7,Music-Centered,Entertainment-Focused,Indoor Activity,Evening Experience,Intimate,Arts & Culture,Local Scene,Cozy,Unique Experience,Live Music
DIY Pottery Painting Night,Decorate ceramics with friends while sipping drinks,5,6,4,3,2,4,Arts & Culture,Creative Expression,Indoor Activity,Hands-On,Relaxation,Group-Friendly,Friend Group Classic,Casual,Creative,Beginner-Friendly
Hot Air Balloon Festival,Watch colorful balloons launch at dawn,4,5,8,3,3,9,Outdoor Activity,Morning Activity,Entertainment-Focused,Spectator Event,Family-Friendly,Instagram-Worthy,Scenic,Photogenic,Weather Dependent,Unique Experience
Vintage Arcade Bar Night,Play classic games while enjoying themed cocktails,7,3,6,2,5,6,Nightlife,Entertainment-Focused,Game-Based,Indoor Activity,Evening Experience,Retro/Nostalgic,Adult Only,Food & Drink,Group-Friendly,Casual,Friend Group Classic
Floating Cinema Experience,Watch movies from inner tubes in heated pool,5,7,9,3,3,8,Entertainment-Focused,Waterfront,Evening Experience,Quirky/Unique,Group-Friendly,Instagram-Worthy,Unique Experience,Immersive,Relaxation,Trendy
Group Sunset Hike & Picnic,Climb to scenic viewpoint for evening meal,6,4,5,1,7,7,Outdoor Activity,Nature-Focused,Physical Activity,Evening Experience,Food & Drink,Group-Friendly,Scenic,Active,Weather Dependent,Instagram-Worthy
Tarot Reading Party,Get fortune told while enjoying mystical-themed snacks,7,5,7,4,2,6,Indoor Activity,Entertainment-Focused,Mystical,Food & Drink,Group-Friendly,Quirky/Unique,Interactive,Conversation-Focused,Intimate,Friend Group Classic
Internet Meme Trivia Night,Test knowledge of viral content with team competition,8,8,6,2,4,5,Entertainment-Focused,Indoor Activity,Evening Experience,Game-Based,Competition,Tech-Focused,Group-Friendly,Team Building,Funny,Trendy,Pop Culture
Secret Rooftop Movie Night,Watch cult classics under stars on hidden building top,7,4,8,3,3,8,Entertainment-Focused,Outdoor Activity,Evening Experience,Hidden Gem,Urban Setting,Quirky/Unique,Group-Friendly,Instagram-Worthy,Rooftop,Scenic,Cult Films
Underground Pizza Crawl,Tour the city's most authentic hidden slice spots,8,5,7,1,6,7,Food & Drink,Urban Setting,Walking Tour,Hidden Gem,Group-Friendly,Budget-Friendly,Local Favorite,Casual,Culinary Adventure,Urban Exploration
Midnight Dessert Tour,Visit 24-hour bakeries and dessert bars after hours,7,6,8,4,4,7,Food & Drink,Urban Setting,Evening Experience,Late Night,Guided Experience,Walking Tour,Group-Friendly,Quirky/Unique,Sweet Tooth,Hidden Gem,Foodie
Brewery Yoga & Flight Tasting,Morning poses followed by craft beer sampling,6,7,7,3,6,6,Wellness,Physical Activity,Food & Drink,Guided Experience,Quirky/Unique,Group-Friendly,Morning Activity,Adult Only,Trendy,Local Craft Beer,Unique Combination
Neon Night Cycle,Group bike ride with LED-decorated wheels through city,7,5,8,2,8,8,Physical Activity,Outdoor Activity,Evening Experience,Urban Setting,Quirky/Unique,Group-Friendly,Active,Instagram-Worthy,Unique Experience,Glowing,Nightlife
Secret Bar Passport Challenge,Find and drink at 5 password-only speakeasies in one night,8,6,9,6,7,8,Nightlife,Food & Drink,Urban Setting,Evening Experience,Hidden Gem,Adult Only,Group-Friendly,Alcohol-Focused,Challenge,Adventure,Urban Exploration
Pop-up Dinner in Unexpected Location,Farm-to-table meal in subway tunnel or abandoned building,6,7,10,7,4,9,Food & Drink,Urban Setting,Evening Experience,Quirky/Unique,Hidden Gem,Immersive,Group-Friendly,Gourmet,Instagram-Worthy,Trendy,Exclusive
Analog Game Night Tournament,Competitive Jenga Cards Against Humanity & drinking games,9,5,4,2,5,7,Game-Based,Indoor Activity,Evening Experience,Competition,Entertainment-Focused,Group-Friendly,Friend Group Classic,Adult Only,Interactive,Social,Casual
DIY Music Festival Hopping,Create wristbands to blend into multiple paid events,7,3,9,3,8,9,Music-Centered,Outdoor Activity,Entertainment-Focused,Urban Setting,Quirky/Unique,Group-Friendly,DIY/Homemade,Festival,Sneaky,Adventure,Full Day Event
Sunset Kayaking City Harbor,Paddle through urban waterways during golden hour,5,6,8,3,7,8,Physical Activity,Outdoor Activity,Waterfront,Sports-Related,Evening Experience,Nature-Focused,Group-Friendly,Water Activity,Scenic,Instagram-Worthy,Urban Adventure
Retro Arcade Bar Challenge,Beat high scores while sampling themed cocktails,7,5,7,2,6,7,Nightlife,Entertainment-Focused,Game-Based,Indoor Activity,Evening Experience,Retro/Nostalgic,Adult Only,Food & Drink,Group-Friendly,Competition,Challenge
Hot Sauce Tasting Competition,Test your limits with increasingly spicy varieties,8,7,6,3,5,6,Food & Drink,Indoor Activity,Competition,Group-Friendly,Quirky/Unique,Challenge,Interactive,Sensory Experience,Funny,Casual,Daring
Neighborhood Photo Scavenger Hunt,Race to capture creative shots of local landmarks,8,8,7,2,8,7,Urban Setting,Creative Expression,Game-Based,Outdoor Activity,Competition,Team Building,Physical Activity,Walking Tour,Local Exploration,Photography,Challenge
Hidden Waterfall Swimming Hole,Find secluded natural pool just outside the city,6,3,9,1,7,9,Nature-Focused,Outdoor Activity,Waterfront,Hidden Gem,Physical Activity,Water Activity,Weather Dependent,Adventure,Instagram-Worthy,Day Trip,Scenic
Midnight Bookstore Champagne Browse,Special after-hours access to indie shop with drinks,6,4,8,6,3,7,Literary,Indoor Activity,Evening Experience,Late Night,Food & Drink,Quirky/Unique,Group-Friendly,Cultural,Cozy,Hidden Gem,Exclusive
Celebrity Chef Restaurant Week,Split the bill at normally unaffordable hotspot,7,5,6,8,3,7,Food & Drink,Indoor Activity,Evening Experience,Sophisticated,Urban Setting,Gourmet,Group-Friendly,Luxury Experience,Special Occasion,Foodie,Limited-Time
Full Moon Bonfire Beach Party,Gather around flames with acoustic music on sand,8,3,7,2,6,8,Outdoor Activity,Evening Experience,Music-Centered,Waterfront,Group-Friendly,Nature-Focused,Seasonal,Instagram-Worthy,Atmospheric,Communal
Floating Cinema Night,Watch films from inner tubes in heated rooftop pool,5,6,10,4,3,9,Entertainment-Focused,Waterfront,Evening Experience,Quirky/Unique,Group-Friendly,Instagram-Worthy,Unique Experience,Immersive,Relaxation,Trendy,Urban Setting
Street Art Walking Tour & Workshop,Learn techniques after seeing neighborhood murals,6,7,8,3,5,7,Arts & Culture,Outdoor Activity,Urban Setting,Creative Expression,Educational,Walking Tour,Group-Friendly,Guided Experience,Hands-On,Urban Art,Learning Opportunity
BYOB Painting Party,Create canvas art with friends bringing their own drinks,7,6,5,3,4,6,Arts & Culture,Creative Expression,Indoor Activity,Evening Experience,Hands-On,Group-Friendly,Friend Group Classic,Beginner-Friendly,Relaxation,Budget-Friendly,Social
Creative Cocktail Making Class,Learn molecular mixology with taste-testing,8,8,8,5,4,7,Food & Drink,Indoor Activity,Creative Expression,Educational,Hands-On,Guided Experience,Group-Friendly,Adult Only,Learning Opportunity,Trendy,Alcohol-Focused
Trampoline Dodge Ball Tournament,Bouncing battle royale at indoor jump center,8,7,9,1,10,7,High Energy,Physical Activity,Game-Based,Competition,Indoor Activity,Team Building,Quirky/Unique,Group-Friendly,Active,Funny,Tournament
Nighttime Museum Treasure Hunt,Solve riddles through exhibits after closing time,7,8,9,6,6,8,Entertainment-Focused,Indoor Activity,Evening Experience,Educational,Game-Based,Quirky/Unique,Guided Experience,Group-Friendly,Cultural,Interactive,Exclusive
